dia_semana;dia;mes;periodo;hora;genero;comuna;modalidad;label_modalidad;arma_medio;label_arma;movil_agresor;label_agresor;movil_victima;label_victima;edad;conducta;lat;lon
jueves;5;5;2017;12;masculino;norte;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.920993;-75.268685
jueves;5;5;2017;16;masculino;corregimiento el caguan;violacion cerraduras;42;contundente;4;a pie;1;a pie;1;0;hurto a residencias;2.863373;-75.234357
jueves;5;5;2017;18;masculino;central;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.92796;-75.286621
viernes;6;5;2017;19;masculino;la floresta;atraco;4;arma blanca;1;a pie;1;a pie;1;20;hurto a personas;2.927763;-75.264617
viernes;6;5;2017;21;femenino;noroccidental;atraco;4;arma blanca;1;a pie;1;a pie;1;21;hurto a personas;2.95476;-75.297625
viernes;6;5;2017;17;masculino;central;atraco;4;arma de fuego;2;motocicleta;7;vehiculo;15;36;hurto a personas;2.92796;-75.286621
viernes;6;5;2017;22;masculino;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;vehiculo;15;37;hurto a personas;2.908991;-75.274467
viernes;6;5;2017;18;masculino;entre rios;ventosa;40;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.935378;-75.294883
sabado;7;5;2017;19;femenino;sur;raponazo;25;arma blanca;1;a pie;1;a pie;1;23;hurto a personas;2.908991;-75.274467
sabado;7;5;2017;21;femenino;central;raponazo;25;sin empleo de arma;15;motocicleta;7;a pie;1;25;hurto a personas;2.92796;-75.286621
sabado;7;5;2017;11;femenino;central;atraco;4;arma blanca;1;a pie;1;a pie;1;27;hurto a personas;2.92796;-75.286621
sabado;7;5;2017;21;femenino;noroccidental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;37;hurto a personas;2.95476;-75.297625
sabado;7;5;2017;9;masculino;central;raponazo;25;sin empleo de arma;15;a pie;1;motocicleta;7;40;hurto a personas;2.92796;-75.286621
sabado;7;5;2017;16;femenino;las palmas;atraco;4;arma blanca;1;motocicleta;7;motocicleta;7;41;hurto a personas;2.947179;-75.257497
sabado;7;5;2017;0;masculino;suroriental;ventosa;40;contundente;4;a pie;1;a pie;1;0;hurto a residencias;2.9231;-75.266481
sabado;7;5;2017;9;masculino;central;llave maestra;18;llave maestra;9;a pie;1;a pie;1;0;hurto a residencias;2.92796;-75.286621
sabado;7;5;2017;10;sin dato;nororiental;engano;11;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.96045;-75.284146
sabado;7;5;2017;15;sin dato;norte;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.920993;-75.268685
sabado;7;5;2017;16;femenino;las palmas;atraco;4;arma blanca;1;motocicleta;7;motocicleta;7;41;hurto de motos;2.947179;-75.257497
domingo;1;5;2017;7;femenino;las palmas;atraco;4;arma blanca;1;a pie;1;a pie;1;26;hurto a personas;2.947179;-75.257497
domingo;1;5;2017;17;masculino;noroccidental;atraco;4;arma blanca;1;a pie;1;a pie;1;28;hurto a personas;2.95476;-75.297625
domingo;1;5;2017;20;masculino;entre rios;atraco;4;arma de fuego;2;a pie;1;a pie;1;29;hurto a personas;2.935378;-75.294883
domingo;1;5;2017;19;masculino;corregimiento el caguan;atraco;4;arma blanca;1;motocicleta;7;motocicleta;7;51;hurto a personas;2.863373;-75.234357
domingo;1;5;2017;9;femenino;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.908991;-75.274467
domingo;1;5;2017;16;sin dato;sur;atraco;4;arma de fuego;2;motocicleta;7;a pie;1;0;hurto a comercio;2.908991;-75.274467
domingo;1;5;2017;9;masculino;central;halado;15;sin empleo de arma;15;a pie;1;a pie;1;46;hurto de motos;2.92796;-75.286621
domingo;1;5;2017;22;femenino;oriental;halado;15;sin empleo de arma;15;a pie;1;a pie;1;59;hurto de motos;2.940498;-75.26865
lunes;2;5;2017;23;masculino;noroccidental;atraco;4;arma blanca;1;motocicleta;7;a pie;1;20;hurto a personas;2.95476;-75.297625
lunes;2;5;2017;16;masculino;suroriental;atraco;4;arma blanca;1;motocicleta;7;a pie;1;21;hurto a personas;2.9231;-75.266481
lunes;2;5;2017;10;femenino;nororiental;halado;15;sin empleo de arma;15;bicicleta;2;a pie;1;22;hurto a personas;2.96045;-75.284146
martes;3;5;2017;21;masculino;sur;atraco;4;arma blanca;1;a pie;1;bicicleta;2;13;hurto a personas;2.908991;-75.274467
martes;3;5;2017;0;femenino;nororiental;atraco;4;arma de fuego;2;motocicleta;7;a pie;1;23;hurto a personas;2.96045;-75.284146
